3,1,2,19
3,2,2,24
3,3,2,29
3,4,2,34
4,1,2,23
4,2,2,28
4,3,2,33
4,4,2,38
5,1,2,27
5,2,2,32
5,3,2,37
5,4,2,42
6,1,2,43
6,2,2,56
6,3,2,69
6,4,2,82
7,1,2,50
7,2,2,65
7,3,2,80
7,4,2,95
8,1,2,63
8,2,2,84
8,3,2,105
8,4,2,126
9,1,2,79
9,2,2,108
9,3,2,137
9,4,2,166
10,1,2,92
10,2,2,127
10,3,2,162
10,4,2,197
11,1,2,105
11,2,2,146
11,3,2,187
11,4,2,228
12,1,2,124
12,2,2,175
12,3,2,226
12,4,2,277
13,1,2,137
13,2,2,194
13,3,2,251
13,4,2,308
14,1,2,147
14,2,2,208
14,3,2,269
14,4,2,330
15,1,2,175
15,2,2,252
15,3,2,329
15,4,2,406
16,1,2,200
16,2,2,291
16,3,2,382
16,4,2,473
17,1,2,213
17,2,2,310
17,3,2,407
17,4,2,504
18,1,2,223
18,2,2,324
18,3,2,425
18,4,2,526
19,1,2,260
19,2,2,383
19,3,2,506
19,4,2,629
20,1,2,282
20,2,2,417
20,3,2,552
20,4,2,687
21,1,2,307
21,2,2,456
21,3,2,605
21,4,2,754
22,1,2,332
22,2,2,495
22,3,2,658
22,4,2,821
23,1,2,357
23,2,2,534
23,3,2,711
23,4,2,888
24,1,2,400
24,2,2,603
24,3,2,806
24,4,2,1009
25,1,2,437
25,2,2,662
25,3,2,887
25,4,2,1112
26,1,2,474
26,2,2,721
26,3,2,968
26,4,2,1215
27,1,2,502
27,2,2,765
27,3,2,1028
27,4,2,1291
28,1,2,533
28,2,2,814
28,3,2,1095
28,4,2,1376
29,1,2,564
29,2,2,863
29,3,2,1162
29,4,2,1461
30,1,2,601
30,2,2,922
30,3,2,1243
30,4,2,1564
31,1,2,632
31,2,2,971
31,3,2,1310
31,4,2,1649
32,1,2,678
32,2,2,1045
32,3,2,1412
32,4,2,1779
33,1,2,724
33,2,2,1119
33,3,2,1514
33,4,2,1909
34,1,2,773
34,2,2,1198
34,3,2,1623
34,4,2,2048
35,1,2,816
35,2,2,1267
35,3,2,1718
35,4,2,2169
36,1,2,850
36,2,2,1321
36,3,2,1792
36,4,2,2263
37,1,2,905
37,2,2,1410
